unit:name	unit:other_names
44 Division Engineers	44 Division Engineer ; 44 Div. engineers ; 44 Engineer Brigade
445 NAF Hospital	445 NAF Hospital
45 Division Engineers	
5 Battalion	
5 Brigade	5 Bde
52 Division Signals	52 Signal Brigade
53 Division Signals	53 Division Signal;53 Signal Brigade
54 Division Signals	54 Div. Signals
6 Battalion	
6 Division Garrison	
6 Division	
65 Battalion	65 BN
7 Brigade Special Task Force	7 Brigade ; 7 Multi-National Joint Task Force Brigade
7 Division Garrison Rapid Deployment Force II	RDF
7 Division Garrison	Seven Division Garrison ; Garrison Command ; 7 Garrison
7 Division Garrison	Seven Division Garrison;Garrison Command;7 Garrison
7 Division Military Intelligence Brigade	
7 Division	7th Infantry Division;7 Div;Division 7
7 Guards Battalion	Seventh Guards Battalion ; 7 Battalion ; Seventh Battalion
72 Special Forces Battalion	72 Para Bn;72 Special Battalion;72 Army Battalion;72 Para-Battalion;72 BN;72 Para Battalion;72 Battalion
73 Battalion	
75 Strike Group	Nigerian Airforce Strike Group;75 STG;75 Strategic Tactical Group;75 Strike Force
79 Composite Group	79 CG
8 Task Force Division	
81 Battalion	81 BN
81 Division Garrision	
81 Division	81st Division (Amphibious) ; 81st Division
81 Task Force Battalion	
82 Division Garrison Anti Kidnapping Unit	
82 Division Garrison	
82 Division	82nd Division (Airborne and Amphibious) ; Composite Division ; Eighty second (Airborne) Division
82 Mechanised Battalion	82 Battalion ; 82 BN
9 Brigade	9 Bde
93 Battalion	93 Army Battalion ; 93 Battalion of the Nigerian Army
A' Police Division (Benue State)	A' Division
A' Police Division in Plateau State	"A Division Jos ; 'A' Division, Jos ; ""A"" Division"
A' Police Division in Uyo in Akwa Ibom State	A Divisional Command Barrack Road Uyo ; Police Area 'A' Division
A' Police Division in Yobe State	A' Division ; 'A' division police station ; 'A' Division Police Command ; Central A Division Police station ; A division police Station
Aba Central Police Station	
Aba Police Area Command	Aba Area command ; Police Area Command, Aba
Abagana Police Division	Abagana Division ; Abagana Divisional police station ; Abagana
Abak Police Division	Abak Divisional Command ; Abak Divisional Police Station ; Abak divisional police headquarters
Abakaliki Police Area Command	Area Command, Abakaliki
Abakpa Police Division	Abakpa Division
Abattoir Police Division	Abattoir ; Abattoir Division
Abayi Police Division	
Abeokuta Police Area Command	Area Command Abeokuta
Abia State Command (State Security Service)	
Abia State Police Command	state command
Abigi Police Division	Abigi
Account & Budget	
Achalla Police Division	Achall Division
Adamawa State Command (State Security Service)	State Security Service ; SSS
Adamawa State Police Command	
Adani Police Area Command	
Adani Police Division	
Adatan Police Division	Adatan
Adeniji Adele Police Division	Adeniji Adele Division;Adeniji-Adele division
Adigbe Police Division	Adigbe
Administration	
Ado-Odo Police Division	Ado-Odo
Aeromedical Centre	102 AMC
Aeronautical Engineering & Technical Services Ltd	AETSL
Afam Police Division	
Afikpo Police Area Command	Area Command of the Nigeria Police in Afikpo;Police Area Command in Afikpo
African Union Mission in the Sudan	AMIS
African Union/United Nations Hybrid operation in Darfur	L’UNAMID/Darfour
African Union/United Nations Hybrid operation in Darfur	UNAMID;African Union/UN Hybrid operation in Darfur
African-led International Support Mission in Mali	AFISMA;African-Led Support Mission in Mali
Agbado Police Division	Agbado
Agbara Police Division	Agbara
Agbowa Police Division	AGBOWA DIVISION
Ago-Iwoye Police Division	Ago-Iwoye
Agodi Police Area Command	Agodi Area Command
Aguata Police Division	Aguata Police Division (Ekwulobia) ; Aguata Division
Agugu Police Division	
Agugu Police Station	
Ahoada Police Area Command	Ahoada Area Command
Ahoada Police Division	Ahoada Division
Air Force Comprehensive School Ibadan	AFCS
Air Force Institute of Technology	AFIT
Air Force Secondary School Ikeja	AFSS
Ajah Police Division	Ajah Division
Ajalli Police Division	Ajali Police Division ; Ajalli, the Divisional Headquarters of the Nigeria Police ; Ajalli Division
Ajegunle Police Division	
Ajuwon Police Division	Ajuwon
Akim Police Area Command	Akim Area Command
Akim Police Division	
Akinpelu Police Division	AKINPELU DIVISION
Akodo Police Division	Akodo Division
Akpor Police Division	
Akukutoru Police Division	Divisional Police Officer for Akukutoru Local Government Area
Akure Police Area Command	Akure Area Command
Akwa Ibom State Command (State Security Service)	State Security Service ; SSS
Akwa Ibom State Police Command	Akwa-Ibom State Police Command ; Police Headquarters, Ikot Akpan Abia, Uyo
Akwanga Police Area Command	Akwanga Area Command
Akwanga Police Division	Akwanga divisional police station
Alade Police Division	Alade Division
Alagbado Police Division	Alagbado Division
Alakara Police Station	
Alakuko Police Division	Alakuko Division
Alapere Police Division	Alalpere Police Division ; Alapere Division
Alausa Police Division	ALAUSA DIVISION
Aluu Police Division	Aluu Divisional Police Headquarters
Amechi-Uwani Police Division	
Amichi Police Division	Amichi Division
Amukoko Police Division	
Anaku Police Division	Anaku
Anambra State Command (State Security Service)	SSS
Anambra State Police Command	
Anaocha Police Division	Anaocha
Angwan-Rogo Police Division	
Anthony Police Division	Anthony DIvision
Apapa Police Division	
Apata Police Division	
Area 'A' Police Area Command (Lagos State Police Command)	AREA 'A' COMMAND LION BUILDING;Area 'A' Command
Area 'B' Police Area Command (Lagos State Police Command)	Area B Police Command
Area 'C' Police Area Command (Lagos State Police Command)	Area 'C'
Area 'D' Police Area Command (Lagos State Police Command)	Area D Police Command;Area D
Area 'E' Police Area Command (Lagos State Police Command)	Area 'E' Command
Area 'F' Police Area Command (Lagos State Police Command)	AREA 'F' COMMAND
Area 'G' Police Area Command (Lagos State Police Command)	"Area G Police Command ; Area ""G' Command"
Area 'H' Police Area Command (Lagos State Police Command)	Area H ; Area H police command ; Area 'H' Police Command ; Area H Command ; Area Command, Ogudu ; Ogudu Area Command
Area 'J' Police Area Command (Lagos State Police Command)	"Area ""J"" Police Command ; Area 'J' Command ; Area 'J' Ajah"
Area 'K' Police Area Command (Lagos State Police Command)	Area K Police Command
Area 'L' Police Area Command (Lagos State Police Command)	"Area 'L' Police Command, Area L ; Area ""L"" Police Command"
Area 'M' Police Area Command (Lagos State Police Command)	Area 'M' Police Command ; Area M Police Command ; Idimu Area Command ; Idimu Police Command
Area 'N' Police Area Command (Lagos State Police Command)	AREA 'N' COMMAND
Ariaria Police Division	Ariaria Division
Armed Forces Council	the Forces Council
Armed Forces of the Federal Republic of Nigeria	Nigerian Armed Forces;Armed Forces
Atakpa Police Division	
Atan Police Division	Atan
Awa-Ijebu Police Division	Awa-Ijebu
Awada Police Division	Awada
Awgu Police Division	
Awka Police Area Command	Area Command Police Station in Awka ; Awka Area Command ; Area Command Awka
Awkunanaw Police Division	Awkunanaw Division ; Awkunanaw Police
Ayetoro Police Division	Ayetoro
Ayobo Police Division	Ayobo Division
Azuka Police Division	Azuka Police station
B' Police Division (Anambra State)	B' Division ; B Division Awka
B' Police Division (Benue State)	B' Division Police Station
B' Police Division (Plateau State)	"B Division Bukuru ; ""B"" Division police station ; 'B' Division Police Station ; 'B' Division  ; 'B' Division Bukuru ; B. Divisional Police Station"
Bachirawa Police Division	
Badagry Police Division	
Bakori Police Division	
Bama Police Area Command	Area Commander of the Nigerian Police in Bama;Bama Area command
Bara Police Division	Divisional Police Station in Bara ; Divisional Police Headquarters in Bara
Bariga Police Division	Bariga Division
Barkin Ladi Police Division	Barkin Ladi Divisional Police Station ; Barkin Ladi Division
Bassa Police Division	Bass Divisional Police Station
Batagarawa Police Division	
Batsari Police Division	
Bauchi Police Area Command	Area Commands located in Bauchi, Ningi and Katagun
Bauchi State Command (State Security Service)	State Security Service ; SSS ; DSS
Bauchi State Police Command	
Baure Police Division	Baure Divisional Police Office
Bayelsa State Command (State Security Service)	State Security Service, SSS
Bayelsa State Police Command	
Benue State Command (State Security Service)	SSS
Benue State Police Command	
Bida Police Area Command	Area Commander in Charge of Bida area
Bindawa Police Division	Bindawa Police Divisional Headquarters
Birnin Kudu Police Division	Birnin kudu Division ; Birnin-Kudu Divisional Police Headquarters
Biu Police Area Command	Biu Area Command
Bompai Police Division	
Bori Police Division	
Borno State Command (State Security Service)	State Security Service ; SSS ; DSS ; DSS state command
Borno State Government	
Borno State Police Command	
Borokiri Police Division	Borokiri Division
Borokiri Police Station	
Brigade Police Division	
Buni Yadi Police Division	Buni Yadi Division ; Bunu Yadi Division ; Divisional police station
Bunkure Police Division	Bunkure Police Station ; Bunkure Divisional Police Station
C' Police Division in Akwa Ibom State	C Divisional Command Ikot Akpan Abia, Aka Etinan Road ; C' Division ; C Division
C' Police Division in Benue State	C' Division Police Station
C' Police Division in Plateau State	C. Divisional Police Station ; 'C' Division Police station
C' Police Division in Yobe State	C' Division Police Station ; C division police station ; C' Division
Central Naval Command	CNC
Central Police Station (Daura)	Central Police Station in Daura
Charanchi Police Division	Charanchi Police Divisional Headquarters
Civilian Joint Task Force Sector 1	Sector 1
Civilian Joint Task Force Sector 2	Sector 2
Civilian Joint Task Force Sector 3	Sector 3 of the youth volunteer group ; sector 3
Civilian Joint Task Force Sector 5	Sector 5 of the local vigilante group in Borno State;Sector-5 formation of the Civilian-JTF
Civilian Joint Task Force Sector 6	Civilian JTF in Sector 6;Sector-6
Civilian Joint Task Force	Civilian-JTF;CJTF;Civilian JTF
Criminal Intelligence Bureau (Abia State Police Command)	CIB
Criminal Intelligence Bureau (Adamawa State Police Command)	CIB
Criminal Intelligence Bureau (Akwa Ibom State Police Command)	CIB
Criminal Intelligence Bureau (Anambra State Police Command)	CIB
Criminal Intelligence Bureau (Bauchi State Police Command)	CIB
Criminal Intelligence Bureau (Bayelsa State Police Command)	CIB
Criminal Intelligence Bureau (Benue State Police Command)	CIB
Criminal Intelligence Bureau (Borno State Police Command)	CIB
Criminal Intelligence Bureau (Cross River State Police Command)	CIB
Criminal Intelligence Bureau (Delta State Police Command)	CIB
Criminal Intelligence Bureau (Ebonyi State Police Command)	CIB
Criminal Intelligence Bureau (Edo State Police Command)	CIB
Criminal Intelligence Bureau (Ekiti State Police Command)	CIB
Criminal Intelligence Bureau (Enugu State Police Command)	CIB
Criminal Intelligence Bureau (Federal Capital Territory Police Command)	CIB
Criminal Intelligence Bureau (Gombe State Police Command)	CIB
Criminal Intelligence Bureau (Imo State Police Command)	CIB
Criminal Intelligence Bureau (Jigawa State Police Command)	CIB
Criminal Intelligence Bureau (Kaduna State Police Command)	CIB
Criminal Intelligence Bureau (Kano State Police Command)	CIB
Criminal Intelligence Bureau (Katsina State Police Command)	CIB
Criminal Intelligence Bureau (Kebbi State Police Command)	CIB
Criminal Intelligence Bureau (Kogi State Police Command)	CIB
Criminal Intelligence Bureau (Kwara State Police Command)	CIB
Criminal Intelligence Bureau (Lagos State Police Command)	CIB
Criminal Intelligence Bureau (Nasarawa State Police Command)	CIB
Criminal Intelligence Bureau (Niger State Police Command)	CIB
Criminal Intelligence Bureau (Ogun State Police Command)	CIB;C.I.B.
Criminal Intelligence Bureau (Ondo State Police Command)	CIB
Criminal Intelligence Bureau (Osun State Police Command)	CIB
Criminal Intelligence Bureau (Oyo State Police Command)	CIB
Criminal Intelligence Bureau (Plateau State Police Command)	CIB
Criminal Intelligence Bureau (Rivers State Police Command)	CIB
Criminal Intelligence Bureau (Sokoto State Police Command)	CIB
Criminal Intelligence Bureau (Taraba State Police Command)	CIB
Criminal Intelligence Bureau (Yobe State Police Command)	CIB
Criminal Intelligence Bureau (Zamfara State Police Command)	CIB
Cross River State Command (State Security Service)	
Cross River State Police Command	
D' Police Division in Benue State	D' Division
D' Police Division in Uyo Itam in Akwa Ibom State	D Divisional Command Itam Uyo
Dakatsalle Police Division	
Dala Police Division	Dala Division ; Dala Divisional Police Office
Damagum Police Division	Damagum Division
Dambatta Police Division	Dambatta Division ; Dambatta Police Station
Dandume Police Station	
Danja Police Division	Divisional Police Station in Danja
Danmusa Police Division	Danmusa
Daura Police Area Command	Daura Police Area Command Office
Daura Police Division	Daura Divisional Police ; Daura Police Divisional Headquarters
Dawakin Kudu Police Division	
Defence Headquarters	
Delta State Command (State Security Service)	
Delta State Police Command	
Demsa Police Division	Demsa Divisional Police Office
Department of Army Logistics	DOAL
Department of Army Policy and Plans	DAPP;Directorate of Army Policy and Plans
Department of Army Standards and Evaluation	DASE
Department of Army Training and Operations	DATOPS;Directorate of Army Training and Operations;Department of Army Operations
Department of Military Secretary	MS 'A'
Department of Operations	DOPs;'B' Department of Operations
Directorate of Army Public Relations	DAPR
Dobeli Police Station	
Doguwa Police Division	Doguwa Division
Dopemu Police Division	Dopemu Division ; Dopemu
Doubeli Police Division	
Dumne Police Division	
Dunukofia Police Division	Ukpo
Dustin-ma Police Division	Dustinma ; Dustin-ma Division ; Dustinama Police Divisional Headquarters
Dutsi Police Division	Dutsi Divisional Police Office
E' Police Division in Benue State	E' Division
Eastern Naval Command	ENC
Eastern Ngwa Police Division	
Eastern Obolo Police Division	Eastern Obolo Divisional Command ; Eastern Obolo Divisional Officer
Ebonyi State Command (State Security Service)	
Ebonyi State Police Command	
Edo State Command (State Security Service)	State Security Services ; SSS
Edo State Police Command	
Eket Police Division	Eket Divisional Command ; Eket Division, Eket Divisional Office
Ekiti State Command (State Security Service)	SSS ; State Police ; State Security Service
Ekiti State Police Command	
Eleme Police Division	
Elemoro Police Division	Elemoro Police Station
Elere Police Division	Elere Police Command ; Elere Division ; Elere
Elimgbu Police Division	Elimgbu Division
Emene Police Division	
Enugu Ezike Police Division	
Enugu State Command (State Security Service)	
Enugu State Police Command	
Epe Police Division	Epe Division
Etim Ekpo Police Division	Etim Ekpo Divisional Command
Etinan Police Division	Etinan Divisional Command
Ewekoro Police Division	Ewekoro
Ezeagu Police Division	
Eziama Police Division	
Ezinifite Police Division	Ezinifite
Fagge Police Division	Fagge Divisional Police Office
Farm Centre Police Division	Farm Centre Divisional Police Office ; Farm Center Police Station
Faskari Police Division	
Federal Capital Territory Command (State Security Service)	State Security Service, Federal Capital Territory ; SSS ; SSS FCT
Federal Capital Territory Police Command	FCT Police Command
Federal Housing Police Division	
Federal Special Anti-Robbery Squad	FSARS ; Special Anti-Robbery Squad ; SARS ; Special Anti-Robbery Squad of the Nigeria Police Force
Fegge Police Division	Fegge Division ; Fegge Police Station ; Divisional Police Station, Fegge
Festac Police Division	FESTACH DIVISION
Fika Police Division	Fika Division ; Fika Divisional Police Station
Force Criminal Investigations Department	Federal Criminal Investigation Department ; FCID ; NPF Criminal Investigation Department ; Department 'D'
Force Headquarters	
Force Headquarters	Police Force Headquarters ; Louis Edet House
Funtua Police Area Command	
Galadima Police Division	
Gamawa Police Division	Gamawa Division
Ganjuwa Police Division	Ganjuwa
Gano Police Division	
Ganye Police Division	Divisional Police Station ; Ganye division police station ; Ganye Divisional Police Station
Garin Alkali Police Division	Garin Alkali Division
Gashua Police Division	Gashua Divisional Police Station ; Bade police divisional headquarters ; Divisional Police Station
Gaya Police Division	Gaya divisional police station
Gboko Police Area Commad	Gboko Area Commad ; Gboko Command
Gezawa Police Division	
Giade Police Division	Giade Divisional Police Station
Gombe State Command (State Security Service)	
Gombe State Police Command	
Gombi Police Area Command	Gombi Area Command
Gombi Police Division	Gombi divisional police station
Goron Dutse Police Division	Goron Dutse Police Outpost ; Goron Dutse Division
Gowon Estate Police Division	Gowon Estate Division
Guards Brigade Garrison	HQ Guard Brigade Garrison
Guards Brigade	Presidential Guards' Brigade ; Brigade of Guards
Gulak Police Division	Gulak Divisional Police Station
Gwagwarwa Police Division	Gwagwarwa Police Station
Gwale Police Division	Gwale station ; Gwale Divisional police station
Gwarzo Police Division	
Hockey Centre Police Division	
Hong Police Division	Hong Divisional Police Station
Hotoro Police Division	Hotoro Division;Hotoro Divisional Police Station
Ibafo Police Division	Ibafo
Ibara Police Division	Ibara
Ibeno Police Division	Ibeno Divisional Command
Ibese Police Division	Ibese Division
Ibesikpo Asutan Police Division	Ibesikpo Asutan Divisional Command ; Ibesikpo-Asutan Police Division
Ibiono Ibom Police Division	Ibiono Ibom Divisional Command
Ibogun Police Division	Ibogun
Ichi Police Division	Ichi Division
Idi-Ape Police Station	
Idimu Police Division	Idimu Divisional Police station ; Idimu Division
Idiroko Police Division	Idiroko
Ifako Police Division	Ifako Division
Ifo Police Division	Ifo
Igando Police Division	Igando Division
Igbeba Police Division	Igbeba
Igbo-Etiti Police Division	Igbo Etiti police division ; Igbo-Etiti Division
Igbo-Eze North Police Division	Igboeze North Police Division
Igbologun Police Division	Igbologun Division
Ihala Police Division	Ihala Division
Ijanikin Police Division	Ijanikin Division
Ijebu-Igbo Police Division	Ijebu-Igbo
Ijebu-Ode Police Area Command	Area Command Ijebu-Ode
Ijede Police Division	IJEDE DIVISION
Ijora Badia Police Division	
Iju Police Division (Area 'G' Police Area Command Lagos State Police Command)	Iju Police Command ; Iju
Ika Police Division	Ika Divisional Command
Ikeja Police Division	IKEJA DIVISION
Ikenne Police Division	Ikenne
Ikom Police Station	
Ikorodu Police Division	IKORODU DIVISION
Ikot Ebo Police Division	Ikot Ebo Divisional Command
Ikot Edim Police Division	Divisional Police Station at Ikot Edim
Ikot Ekpene Police Area Command	Ikot Ekpene area command ; Area Command, Ikot Ekpene
Ikot Nakanda Police Division	Divisional Police Station, Ikot Nakanda
Ikotun Police Division	Ikotun Division
Ilaro Police Area Command	Area Command, Ilaro
Ilaro Police Division	Ilaro
Ilasan Police Division	Ilasan station ; Ilasan Division
Ilashe Police Division	ILASHE
Ilemba Hausa Police Division	Ilemba Hausa Division
Ilese Police Division	Ilese
Ilupeju Police Division (Abeokuta Police Area Command)	Ilupeju
Ilupeju Police Division (Lagos State Police Command)	ILUPEJU DIVISION
Imala Police Division	Imala
Imeko Police Division	Imeko
Imo State Command (State Security Service)	Imo State Command (State Security Service) ; SSS
Imo State Police Command	
Imota Police Division	IMOTA DIVISION
Independence Layout Police Division	
Ini Police Division	Ini Divisional Command
Inland Town Police Division	
Ipaja Police Division	Ipaja Division
Ipakodo Police Division	IPAKODO DIVISION
Iperu Police Division	Iperu
Ipokia Police Division	Ipokia
Iponri Police Division	Iponri Division
Irede/Ikanre Police Division	Irede/Ikanre Division
Iseyin Police Station	
Ishara Police Division	Isara
Ishasi Police Division	Ishasi Division
Isheri Oshun Police Division	Isheri Oshun Division
Isheri Police Division	Isheri Police Command
Isiala Ngwa Police Division	
Isiokpo Police Division	Isiokpo Division
Isiokpo Police Station	
Isokoko Police Divsion	Isokoko Divsion ; Isokoko
Isuikwuato Police Division	Isikwuato Police Division
Itele Police Division	Itele
Itu Police Division	Itu Divisional Command
Iyaganku Police Area Command	Iyaganku Area Command
Iyaganku Police Division	
Iyana Ofa Police Station	
Jesse Police Division	Jesse Divisional Police Headquarters ; Jesse town ; Jesse Police Station ; Jesse
Jigawa State Command (State Security Service)	
Jigawa State Police Command	
Jimeta Police Division	Jimeta Division ; Jimeta Divisional Police Station ; Jimeta Divisional Police Headquarters
Jimeta Police Station	
Joint Task Force Kano State	JTF ; Joint Security Task Force ; Joint Task Force ; Kano JTF
Joint Task Force Operation Pulo Shield Sector 1	Sector One ; Sector 1 ; Sector 1 Joint Task Force, Operation Pulo Shield
Joint Task Force Operation Pulo Shield Sector 2	Sector Two ; JTF Sector 2
Joint Task Force Operation Pulo Shield Sector 3	Sector 3 Operation Pulo Shield
Joint Task Force Operation Pulo Shield Sector 4	Sector Four ; Sector 4
Joint Task Force Operation Pulo Shield Sector 5	Sector Five
Joint Task Force Operation Pulo Shield	JTF ; Joint Task Force in the Niger Delta (Operation Pulo Shield) ; Joint Military Task Force in the Niger Delta ; Joint Military Task Force, Operation Pulo Shield ; Joint Task Force in the Niger Delta ; Joint Task Force in Niger Delta code-named Operation Pulo Shield ; JTF Operation Pulo Shield ; Operation Polo Shield ; OP Pulo Shield
Joint Task Force Operation Restore Hope Sector 1	Sector 1 ; Sector 1 Command of the JTF ; Sector One
Joint Task Force Operation Restore Hope Sector 2	Sector 2 ; Sector Two
Joint Task Force Operation Restore Hope Sector 3	Sector 3 ; Sector 3 of JTF ; Sector Three
